id_ppss,nom,prenom,code_mode_exercice,categorie_audit,adresse_current,code_postal_current,commune_current,departement_current,region_current,correction_type,suggested_adresse,suggested_code_postal,suggested_commune,suggested_departement,suggested_region,confidence,source,source_url,source_snippet,search_query,status,notes
10100383040,ABBOUD,SHERINE,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ABBOUD SHERINE neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10002404530,ABDEL RAHMAN,CHAOUKI,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ABDEL RAHMAN CHAOUKI neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10003185369,ABEGG,PHILIPPE,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ABEGG PHILIPPE neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10002234002,ADNET-BONTE,Catherine,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ADNET-BONTE Catherine neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10003475240,AHTOY,PATRICK,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,AHTOY PATRICK neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10003405429,ALARY,JEAN CLAUDE,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ALARY JEAN CLAUDE neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10002645157,ALLAIRE,CATHERINE,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ALLAIRE CATHERINE neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10001902484,ALSASSA,ROGER,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ALSASSA ROGER neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10101035607,AMROM,DINA,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,AMROM DINA neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10003468310,ANDRIEU,PIERRE,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ANDRIEU PIERRE neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10002161635,ANGELI,CHARLES,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ANGELI CHARLES neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10000990126,ARANDA,Bernard,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ARANDA Bernard neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10003958799,ARLAUD LAMBORELLE,Anne Marie,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ARLAUD LAMBORELLE Anne Marie neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
10002689692,ARTAUD-URIOT,Marie-Sylvie,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,,,ARTAUD-URIOT Marie-Sylvie neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.
