id_ppss,nom,prenom,code_mode_exercice,categorie_audit,adresse_current,code_postal_current,commune_current,departement_current,region_current,correction_type,suggested_adresse,suggested_code_postal,suggested_commune,suggested_departement,suggested_region,confidence,source,source_url,source_snippet,search_query,status,notes,confidence_recherche,score,search_status,search_provider,source_nom,source_adresse,source_code_postal,source_commune,source_departement,source_region,source_siren,source_activite,source_rank,source_match_reason,review_reasons
10100383040,ABBOUD,SHERINE,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,https://monsuivimedical.fr/praticien/neurologue-sherine-abboud,"Docteur ABBOUD SHERINE, neurologue à . Trouvez ses coordonnées, localisation et confrères à proximité sur MonSuiviMédical.",ABBOUD SHERINE neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.,non_sure,55,non_sure,duckduckgo,Docteur ABBOUD SHERINE — Neurologue à | MonSuiviMédical,,,,,,,,4,nom concordant (2/2); profession neurologue détectée,pas_adresse_extraite;localite_absente;annuaire_medical
10101035607,AMROM,DINA,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,https://www.chl.lu/fr/docteur-amrom-dina,"Intérêts particuliers : Troubles du développement Troubles des mouvements Malformations cérébrales Epilepsie Neurogénétique Recherche clinique Auteur et coauteur de publications scientifiques dont plusieurs ont un grand impact, et de nombreuses communications scientifiques par affiches et orales dans des journées et congrès nationaux et internationaux.",AMROM DINA neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.,non_sure,55,non_sure,duckduckgo,Docteur Dina Amrom - CHL,,,,,,,,1,nom concordant (2/2); profession neurologue détectée,pas_adresse_extraite;localite_absente;source_etrangere_ou_hors_france;source_non_referencee
10001896512,BACRI-NADIM,DANIELE,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,https://www.mablouseblanche.fr/pro/A10001896512/docteur-bacri-nadim-daniele-neurologie,"Prenez rendez-vous avec Dr Daniele BACRI-NADIM, Neurologue à en ligne. Adresse et Téléphone : ---",BACRI-NADIM DANIELE neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.,non_sure,55,non_sure,duckduckgo,"Prendre RDV : Dr Daniele BACRI-NADIM, Neurologue à",,,,,,,,1,nom concordant (2/2); profession neurologue détectée,pas_adresse_extraite;localite_absente;annuaire_medical
10000351402,BAKCHINE,Serge,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,https://www.medisite.fr/expert-docteur-serge-bakchine,"Docteur Serge Bakchine , expert Neurologue (chef du département du service de neurologie) pour Medisite.fr, valide les contenus de nos journalistes",BAKCHINE Serge neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.,non_sure,55,non_sure,duckduckgo,Docteur Serge Bakchine - Medisite,,,,,,,,1,nom concordant (2/2); profession neurologue détectée,pas_adresse_extraite;localite_absente;source_non_referencee
10002338399,BARROCHE,GERARD,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,https://fr.linkedin.com/in/gérard-barroche-6a496b64,"Professeur émérite de neurologie · Formation : Assistance publique Hôpitaux de Paris · Lieu : Nancy · 90 relations sur LinkedIn. Consultez le profil de Gérard Barroche sur LinkedIn, une communauté professionnelle d'un milliard de membres.",BARROCHE GERARD neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.,non_sure,35,non_sure,duckduckgo,Gérard Barroche - Professeur émérite de neurologie | LinkedIn,,,,,,,,5,nom partiel (1/2); profession neurologue détectée,pas_adresse_extraite;localite_absente;score_faible;nom_partiel;source_non_referencee
10003850772,BASTARD,JEAN,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,https://www.medecinfrance.com/medecin/medecin-bastard-jean-83085.htm,"Découvrez tout ce que vous devez savoir sur le docteur BASTARD JEAN, ses spécialités, coordonnées, horaires de travail, recommandations des patients...",BASTARD JEAN neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.,non_sure,55,non_sure,duckduckgo,Docteur BASTARD JEAN Neurologue à MONT DE MARSAN - Médecin en France,,,,,,,,1,nom concordant (2/2); profession neurologue détectée,pas_adresse_extraite;localite_absente;annuaire_medical
10003271169,BEDOUCHA,PIERRE,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,https://www.mablouseblanche.fr/pro/A10003271169/docteur-bedoucha-pierre-neurologie,"Présentation : Neurologue Dr Pierre BEDOUCHA (Neurologue) exerce son activité à 1 adresse : - , La neurologie est une spécialité médicale centrée sur l'étude et le traitement des pathologies et affections pouvant toucher le système nerveux central constitué du cerveau et de la moelle épinière ou le système nerveux périphérique constitué de racines et des nerfs.",BEDOUCHA PIERRE neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.,non_sure,55,non_sure,duckduckgo,"PRENEZ RDV : Dr Pierre BEDOUCHA, Neurologue à - Mablouseblanche",,,,,,,,1,nom concordant (2/2); profession neurologue détectée,pas_adresse_extraite;localite_absente;annuaire_medical
10001656973,BELLANCE,Remi,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,https://www.mablouseblanche.fr/pro/A10001656973/docteur-bellance-remi-neurologie,"Prenez rendez-vous avec Dr Remi BELLANCE, Neurologue à en ligne. Adresse et Téléphone : ---",BELLANCE Remi neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.,non_sure,55,non_sure,duckduckgo,"Prendre RDV : Dr Remi BELLANCE, Neurologue à - Mablouseblanche",,,,,,,,3,nom concordant (2/2); profession neurologue détectée,pas_adresse_extraite;localite_absente;annuaire_medical
10002534211,BERNAT-VIALLET,CHANTAL,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,https://www.mablouseblanche.fr/pro/A10002534211/docteur-bernat-viallet-chantal-neurologie,"Présentation : Neurologue Dr Chantal BERNAT-VIALLET (Neurologue) exerce son activité à 1 adresse : - , La neurologie est une spécialité médicale centrée sur l'étude et le traitement des pathologies et affections pouvant toucher le système nerveux central constitué du cerveau et de la moelle épinière ou le système nerveux périphérique constitué de racines et des nerfs.",BERNAT-VIALLET CHANTAL neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.,non_sure,55,non_sure,duckduckgo,"PRENEZ RDV : Dr Chantal BERNAT-VIALLET, Neurologue à",,,,,,,,1,nom concordant (2/2); profession neurologue détectée,pas_adresse_extraite;localite_absente;annuaire_medical
10001407435,BOLLER,FRANCOIS,,mode_vide_adresse_departement_vides,,,,,,adresse_to_search,,,,,,ambigu,to_verify_external_search,https://www.mablouseblanche.fr/pro/A10001407435/docteur-boller-francois-neurologie,"Prenez rendez-vous avec Dr Francois BOLLER, Neurologue à en ligne. Adresse et Téléphone : ---",BOLLER FRANCOIS neurologue,to_verify,Aucune suggestion déterministe ; recherche externe requise.,non_sure,55,non_sure,duckduckgo,"Prendre RDV : Dr Francois BOLLER, Neurologue à - Mablouseblanche",,,,,,,,1,nom concordant (2/2); profession neurologue détectée,pas_adresse_extraite;localite_absente;annuaire_medical
